DOI,Publication Year,Title,Primary,Countries,Pathogens
10.3201/eid3004.240115,2024,Potential Sexual Transmission of Antifungal-Resistant Trichophyton indotineae,,,
10.3201/eid3004.231725,2024,"Highly Pathogenic Avian Influenza A(H5N1) Viruses from Multispecies Outbreak, Argentina, August 2023",,,
10.3201/eid3004.231633,2024,"Clostridium butyricum Bacteremia Associated with Probiotic Use, Japan",,,
10.3201/eid3004.231610,2024,"Chlamydia pneumoniae Upsurge at Tertiary Hospital, Lausanne, Switzerland",,,
10.3201/eid3003.231674,2024,"Burkholderia pseudomallei Bacteria in Ornamental Fish Tanks, Vientiane, Laos, 2023",,,
10.3201/eid3003.240001,2024,"High Prevalence of Echinostoma mekongi Infection in Schoolchildren and Adults, Kandal Province, Cambodia",,,
10.3201/eid3003.230700,2024,"Emergence of Thelaziosis Caused by Thelazia callipaeda in Dogs and Cats, United States",,,
10.3201/eid3003.231160,2024,"Source Tracing of Leishmania donovani in Emerging Foci of Visceral Leishmaniasis, Western Nepal",,,
10.3201/eid3003.221760,2024,"Expansion of Neisseria meningitidis Serogroup C Clonal Complex 10217 during Meningitis Outbreak, Burkina Faso, 2019",,,
10.3201/eid3003.230917,2024,Streptobacillus moniliformis and IgM and IgG Immune Response in Patient with Endocarditis(1),,,
10.3201/eid3003.231488,2024,"Biphasic MERS-CoV Incidence in Nomadic Dromedaries with Putative Transmission to Humans, Kenya, 2022-2023",,,
10.3201/eid3003.230348,2024,Molecular Epidemiology of Underreported Emerging Zoonotic Pathogen Streptococcus suis in Europe,,,
10.3201/eid3003.230973,2024,"Highly Pathogenic Avian Influenza A(H5N1) Virus Clade 2.3.4.4b in Domestic Ducks, Indonesia, 2022",,,
10.3201/eid3003.240134,2024,"Bedaquiline Resistance after Effective Treatment of Multidrug-Resistant Tuberculosis, Namibia",,,
10.3201/eid3003.231162,2024,"Geographic Variation and Environmental Predictors of Nontuberculous Mycobacteria in Laboratory Surveillance, Virginia, USA, 2021-2023(1)",,,
10.3201/eid3003.230888,2024,"Wastewater Surveillance for Identifying SARS-CoV-2 Infections in Long-Term Care Facilities, Kentucky, USA, 2021-2022",,,
10.3201/eid3003.231302,2024,"Delayed Diagnosis of Locally Acquired Lyme Disease, Central North Carolina, USA",,,
10.3201/eid3003.230318,2024,"Potentially Zoonotic Enteric Infections in Gorillas and Chimpanzees, Cameroon and Tanzania",,,
10.3201/eid3003.230934,2024,Systematic Review of Scales for Measuring Infectious Disease-Related Stigma,,,
10.3201/eid3003.230986,2024,"Staphylococcus succinus Infective Endocarditis, France",,,
10.3201/eid3003.231098,2024,Recent Changes in Patterns of Mammal Infection with Highly Pathogenic Avian Influenza A(H5N1) Virus Worldwide,,,
10.3201/eid3003.231580,2024,"Enterocytozoon bieneusi Infection after Hematopoietic Stem Cell Transplant in Child, Argentina",,,
10.3201/eid3003.231466,2024,"Newly Identified Mycobacterium africanum Lineage 10, Central Africa",,,
10.3201/eid3003.231402,2024,"Taenia martis Neurocysticercosis-Like Lesion in Child, Associated with Local Source, the Netherlands",,,
10.3201/eid3003.230786,2024,"Disseminated Leishmaniasis, a Severe Form of Leishmania braziliensis Infection",,,
10.3201/eid3003.231309,2024,"Spatial Analysis of Drug-Susceptible and Multidrug-Resistant Cases of Tuberculosis, Ho Chi Minh City, Vietnam, 2020-2023",,,
10.3201/eid3003.231194,2024,Estimates of Incidence and Predictors of Fatiguing Illness after SARS-CoV-2 Infection,,,
10.3201/eid3003.230864,2024,"Effect of Pneumococcal Conjugate Vaccine on Pneumonia Incidence Rates among Children 2-59 Months of Age, Mongolia, 2015-2021",,,
10.3201/eid3003.231539,2024,"Inadvertent Platelet Transfusion from Monkeypox Virus-Infected Donor to Recipient, Thailand, 2023",,,
10.3201/eid3003.231223,2024,"Multimodal Surveillance Model for Enterovirus D68 Respiratory Disease and Acute Flaccid Myelitis among Children in Colorado, USA, 2022",,,
10.3201/eid3003.231018,2024,"Subdural Empyema from Streptococcus suis Infection, South Korea",,,
10.3201/eid3003.230861,2024,"Concurrent Clade I and Clade II Monkeypox Virus Circulation, Cameroon, 1979-2022",,,
10.3201/eid3003.231638,2024,"Detection of Invasive Anopheles stephensi Mosquitoes through Molecular Surveillance, Ghana",,,
10.3201/eid3003.230893,2024,"Population-Based Evaluation of Vaccine Effectiveness against SARS-CoV-2 Infection, Severe Illness, and Death, Taiwan",,,
10.3201/eid3003.231157,2024,"Incursion of Highly Pathogenic Avian Influenza A(H5N1) Clade 2.3.4.4b Virus, Brazil, 2023",,,
10.3201/eid3003.230990,2024,"Betacoronavirus Infection Outbreak, São Paulo, Brazil, Fall 2023",,,
10.3201/eid3003.231263,2024,"Microsporidia (Encephalitozoon cuniculi) in Patients with Degenerative Hip and Knee Disease, Czech Republic",,,
10.3201/eid3002.231142,2023,"Piscichuvirus-Associated Severe Meningoencephalomyelitis in Aquatic Turtles, United States, 2009-2021",,,
10.3201/eid3002.230647,2024,"Parechovirus A Circulation and Testing Capacities in Europe, 2015-2021",,,
10.3201/eid3002.230144,2024,"Impact of Meningococcal ACWY Vaccination Program during 2017-18 Epidemic, Western Australia, Australia",,,
10.3201/eid3002.231221,2024,"Multicenter Retrospective Study of Invasive Fusariosis in Intensive Care Units, France",,,
10.3201/eid3002.231093,2024,Experimental SARS-CoV-2 Infection of Elk and Mule Deer,,,
10.3201/eid3002.231024,2024,"Emerging Enterovirus A71 Subgenogroup B5 Causing Severe Hand, Foot, and Mouth Disease, Vietnam, 2023",,,
10.3201/eid3002.230868,2024,"Lymphocytic Choriomeningitis Virus Lineage V in Wood Mice, Germany",,,
10.3201/eid3002.230122,2024,"Evidence of Zika Virus Reinfection by Genome Diversity and Antibody Response Analysis, Brazil",,,
10.3201/eid3002.231527,2024,"Confirmed Autochthonous Case of Human Alveolar Echinococcosis, Italy, 2023",,,
10.3201/eid3002.231318,2024,"SARS-CoV-2 Infection in Beaver Farm, Mongolia, 2021",,,
10.3201/eid3002.230929,2023,Severe Infective Endocarditis Caused by Bartonella rochalimae,,,
10.3201/eid3002.231016,2024,"Tick-Borne Encephalitis, Lombardy, Italy",,,
10.3201/eid3002.221398,2024,Rapid Detection of Ceftazidime/Avibactam Susceptibility/Resistance in Enterobacterales by Rapid CAZ/AVI NP Test,,,
10.3201/eid3002.230963,2024,"Salmonella Vitkin Outbreak Associated with Bearded Dragons, Canada and United States, 2020-2022",,,
10.3201/eid3002.230827,2024,"Nonnegligible Seroprevalence and Predictors of Murine Typhus, Japan",,,
10.3201/eid3002.230562,2024,Integrating Veterinary Diagnostic Laboratories for Emergency Use Testing during Pandemics(1),,,
10.3201/eid3002.230690,2024,"Fatal West Nile Virus Infection in Horse Returning to United Kingdom from Spain, 2022",,,
10.3201/eid3002.230623,2024,"Identification of Large Adenovirus Infection Outbreak at University by Multipathogen Testing, South Carolina, USA, 2022",,,
10.3201/eid3002.230342,2023,"Power Law for Estimating Underdetection of Foodborne Disease Outbreaks, United States",,,
10.3201/eid3002.230825,2024,"Using Insurance Claims Data to Estimate Blastomycosis Incidence, Vermont, USA, 2011-2020",,,
10.3201/eid3002.231053,2024,"Borrelia turicatae from Ticks in Peridomestic Setting, Camayeca, Mexico",,,
10.3201/eid3002.231440,2024,"Critically Ill Patients with Visceral Nocardia Infection, France and Belgium, 2004-2023",,,
10.3201/eid3002.230639,2024,"Obstetric and Neonatal Invasive Meningococcal Disease Caused by Neisseria meningitidis Serogroup W, Western Australia, Australia",,,
10.3201/eid3002.230542,2024,"Residual Immunity from Smallpox Vaccination and Possible Protection from Mpox, China",,,
10.3201/eid3002.231465,2024,"Nonnegligible Seroprevalence and Predictors of Murine Typhus, Japan (Response)",,,
10.3201/eid3002.230759,2024,"Multiple Introductions of Yersinia pestis during Urban Pneumonic Plague Epidemic, Madagascar, 2017",,,
10.3201/eid3002.230863,2024,"Prevalence of SARS-CoV-2 Infection among Children and Adults in 15 US Communities, 2021",,,
10.3201/eid3003.230609,2024,"Monitoring and Characteristics of Mpox Contacts, Virginia, USA, May-November 2022",,,
10.3201/eid3002.231615,2024,"Introduction and Spread of Dengue Virus 3, Florida, USA, May 2022-April 2023",,,
10.3201/eid3002.231274,2024,"Evolution and Spread of Highly Pathogenic Avian Influenza A(H5N1) Clade 2.3.4.4b Virus in Wild Birds, South Korea, 2022-2023",,,
10.3201/eid3002.230200,2024,Model for Interpreting Discordant SARS-CoV-2 Diagnostic Test Results,,,
10.3201/eid3002.231746,2024,"No Evidence for Clade I Monkeypox Virus Circulation, Belgium",,,
10.3201/eid3002.230768,2024,Key Challenges for Respiratory Virus Surveillance while Transitioning out of Acute Phase of COVID-19 Pandemic,,,
10.3201/eid3002.230835,2024,"Public Health Impact of Paxlovid as Treatment for COVID-19, United States",,,
10.3201/eid3002.230988,2024,"Adapting COVID-19 Contact Tracing Protocols to Accommodate Resource Constraints, Philadelphia, Pennsylvania, USA, 2021",,,
10.3201/eid3002.231332,2024,"Inferring Incidence of Unreported SARS-CoV-2 Infections Using Seroprevalence of Open Reading Frame 8 Antigen, Hong Kong",,,
10.3201/eid3002.231316,2024,"Phylogenomics of Dengue Virus Isolates Causing Dengue Outbreak, São Tomé and Príncipe, 2022",,,
10.3201/eid3002.231148,2024,"Rebound of Gonorrhea after Lifting of COVID-19 Preventive Measures, England",,,
10.3201/eid3001.231202,2024,"Shiga Toxin‒Producing Escherichia coli Diagnoses from Health Practitioners, Queensland, Australia",,,
10.3201/eid3001.230334,2024,"Use of Zoo Mice in Study of Lymphocytic Choriomeningitis Mammarenavirus, Germany",,,
10.3201/eid3001.230924,2024,"Tuberculosis Diagnostic Delays and Treatment Outcomes among Patients with COVID-19, California, USA, 2020",,,
10.3201/eid3001.230813,2024,Efficacy of Unregulated Minimum Risk Products to Kill and Repel Ticks,,,
10.3201/eid3001.231064,2024,"Incidence of Legionnaires' Disease among Travelers Visiting Hotels in Germany, 2015-2019",,,
10.3201/eid3001.230756,2024,Avian Influenza A(H5N1) Neuraminidase Inhibition Antibodies in Healthy Adults after Exposure to Influenza A(H1N1)pdm09,,,
10.3201/eid3001.231192,2024,"Pseudomonas guariconensis Necrotizing Fasciitis, United Kingdom",,,
10.3201/eid3001.230855,2024,"Hantavirus Disease Cluster Caused by Seoul Virus, Germany",,,
10.3201/eid3001.230778,2024,"Racial and Ethnic Disparities in Tuberculosis Incidence, Arkansas, USA, 2010-2021",,,
10.3201/eid3001.221588,2023,"Molecular Evolution and Increasing Macrolide Resistance of Bordetella pertussis, Shanghai, China, 2016-2022",,,
10.3201/eid3001.230427,2024,"Costs of Digital Adherence Technologies for Tuberculosis Treatment Support, 2018-2021",,,
10.3201/eid3001.230851,2024,Early-Onset Infection Caused by Escherichia coli Sequence Type 1193 in Late Preterm and Full-Term Neonates,,,
10.3201/eid3001.230385,2024,"Auritidibacter ignavus, an Emerging Pathogen Associated with Chronic Ear Infections",,,
10.3201/eid3001.231152,2024,Use of Doxycycline to Prevent Sexually Transmitted Infections According to Provider Characteristics,,,
10.3201/eid3001.231264,2024,"Acute Gastroenteritis Associated with Norovirus GII.8[P8], Thailand, 2023",,,
10.3201/eid3001.231231,2024,"Delayed Plasmodium falciparum Malaria in Pregnant Patient with Sickle Cell Trait 11 Years after Exposure, Oregon, USA",,,
10.3201/eid3001.221783,2024,Genomic Diversity and Zoonotic Potential of Brucella neotomae,,,
10.3201/eid3001.221450,2024,"Predictive Mapping of Antimicrobial Resistance for Escherichia coli, Salmonella, and Campylobacter in Food-Producing Animals, Europe, 2000-2021",,,
10.3201/eid3001.231487,2024,"SARS-CoV-2 Incubation Period during Omicron BA.5-Dominant Period, Japan (Response)",,,
10.3201/eid3001.231521,2023,"Use of Zoo Mice in Study of Lymphocytic Choriomeningitis Mammarenavirus, Germany (Response)",,,
10.3201/eid3001.230890,2024,"Doxycycline Prophylaxis for Skin and Soft Tissue Infections in Naval Special Warfare Trainees, United States(1)",,,
10.3201/eid3001.221927,2024,Disease-Associated Streptococcus pneumoniae Genetic Variation,,,
10.3201/eid3001.231013,2024,"Mycobacterium senegalense Infection in Kidney Transplant Patient with Diabetes, Memphis, Tennessee, USA",,,
10.3201/eid3001.230858,2024,"Rare Spiroplasma Bloodstream Infection in Patient after Surgery, China, 2022",,,
10.3201/eid3001.230905,2024,"Excess Deaths Associated with Rheumatic Heart Disease, Australia, 2013-2017",,,
10.3201/eid3001.231011,2024,"Respiratory Viruses in Wastewater Compared with Clinical Samples, Leuven, Belgium",,,
10.3201/eid3001.231049,2024,"Helicobacter fennelliae Localization to Diffuse Areas of Human Intestine, Japan",,,
10.3201/eid3001.230261,2024,"Population-Based Study of Pertussis Incidence and Risk Factors among Persons >50 Years of Age, Australia",,,
10.3201/eid3001.230208,2024,"SARS-CoV-2 Incubation Period during Omicron BA.5-Dominant Period, Japan",,,
10.3201/eid3001.231215,2024,"COVID-19-Related School Closures, United States, July 27, 2020-June 30, 2022",,,
10.3201/eid3001.230435,2024,"Macacine alphaherpesvirus 1 (B Virus) Infection in Humans, Japan, 2019",,,
10.3201/eid3001.230972,2024,"Emergence of Dengue Virus Serotype 2 Cosmopolitan Genotype, Colombia",,,
10.3201/eid3001.221663,2024,"Estimation of Incubation Period of Mpox during 2022 Outbreak in Pereira, Colombia",,,
10.3201/eid3001.231003,2024,Emergence of Novel Norovirus GII.4 Variant,,,
10.3201/eid3001.230183,2024,"Increased Peripheral Venous Catheter Bloodstream Infections during COVID-19 Pandemic, Switzerland",,,
10.3201/eid3001.230315,2024,"Frequency of Children Diagnosed with Perinatal Hepatitis C, United States, 2018-2020",,,
10.3201/eid3001.230414,2024,"Effectiveness of Vaccines and Antiviral Drugs in Preventing Severe and Fatal COVID-19, Hong Kong",,,
10.3201/eid3001.230970,2024,"Effect of 2020-21 and 2021-22 Highly Pathogenic Avian Influenza H5 Epidemics on Wild Birds, the Netherlands",,,
10.3201/eid3001.231164,2024,"Clade I-Associated Mpox Cases Associated with Sexual Contact, the Democratic Republic of the Congo",,,
10.3201/eid2912.230796,2023,Microfilaremic Dirofilaria repens Infection in Patient from Serbia,,,
10.3201/eid2912.231159,2023,"Tuberculosis in Lemurs and a Fossa at National Zoo, Madagascar, 2022",,,
10.3201/eid2912.230505,2023,"Highly Pathogenic Avian Influenza A(H5N1) from Wild Birds, Poultry, and Mammals, Peru",,,
10.3201/eid2912.230674,2023,"Zoonotic Marine Nematode Infection of Fish Products in Landlocked Country, Slovakia",,,
10.3201/eid2912.230780,2023,"Risk Factors for Enteric Pathogen Exposure among Children in Black Belt Region of Alabama, USA",,,
10.3201/eid2912.230697,2023,"Human Taenia martis Neurocysticercosis, Switzerland",,,
10.3201/eid2912.230774,2023,"Genome-Based Characterization of Listeria monocytogenes, Costa Rica",,,
10.3201/eid2912.230938,2023,"Neurotropic Highly Pathogenic Avian Influenza A(H5N1) Virus in Red Foxes, Northern Germany",,,
10.3201/eid2912.230903,2023,"Molecular Detection and Characterization of Mycoplasma spp. in Marine Mammals, Brazil",,,
10.3201/eid2912.230751,2023,"Cross-Sectional Study of Soil-Transmitted Helminthiases in Black Belt Region of Alabama, USA",,,
10.3201/eid2912.230464,2023,"Highly Pathogenic Avian Influenza A(H5N1) Virus Clade 2.3.4.4b Infections in Wild Terrestrial Mammals, United States, 2022",,,
10.3201/eid2912.230549,2023,"Novel Ozark Orthohantavirus in Hispid Cotton Rats (Sigmodon hispidus), Arkansas, USA",,,
10.3201/eid2912.230373,2023,"Naturally Acquired Rabies in White-Eared Opossum, Brazil",,,
10.3201/eid2912.230250,2023,"Fatal Human Neurologic Infection Caused by Pigeon Avian Paramyxovirus-1, Australia",,,
10.3201/eid2912.230673,2023,"Invasive Nocardia Infections across Distinct Geographic Regions, United States",,,
10.3201/eid2912.231114,2023,"OXA-48-Producing Uropathogenic Escherichia coli Sequence Type 127, the Netherlands, 2015-2022",,,
10.3201/eid2912.230587,2023,"Crimean-Congo Hemorrhagic Fever Virus Seropositivity among Dromedary Camels, Algeria, 2020-2021",,,
10.3201/eid2912.230709,2023,"Surveillance for Soil-Transmitted Helminths in High-Risk County, Mississippi, USA",,,
10.3201/eid2912.230811,2023,"Systemic Erysipelas Outbreak among Free-Ranging Bottlenose Dolphins, San Diego, California, USA, 2022",,,
10.3201/eid2912.230594,2023,"Cost of Acute and Sequelae Care for Japanese Encephalitis Patients, Bangladesh, 2011-2021",,,
10.3201/eid2912.231092,2023,"Human Lobomycosis Caused by Paracoccidioides (Lacazia) loboi, Panama, 2022",,,
10.3201/eid2912.230637,2023,"Detection of Anopheles stephensi Mosquitoes by Molecular Surveillance, Kenya",,,
10.3201/eid3001.231508,2024,"Autochthonous Dengue Fever in 2 Patients, Rome, Italy",,,
10.3201/eid2912.231472,2023,"Autochthonous Dengue Outbreak, Paris Region, France, September-October 2023",,,
10.3201/eid2912.230880,2023,"Substantial Diversity in Cocirculating Omicron Lineages in Hospital Setting, Porto Alegre, Brazil",,,
10.3201/eid3001.231319,2024,"Reemergence of Human African Trypanosomiasis Caused by Trypanosoma brucei rhodesiense, Ethiopia",,,
10.3201/eid2503.181157,2019,"Tuberculosis Surveillance and Control, Puerto Rico, 1898-2015",,,
10.3201/eid2912.231070,2023,"Work Attendance with Acute Respiratory Illness Before and During COVID-19 Pandemic, United States, 2018-2022",,,
10.3201/eid2912.230192,2023,Mass Mortality of Sea Lions Caused by Highly Pathogenic Avian Influenza A(H5N1) Virus,,,
10.3201/eid2912.221916,2023,"Anthropogenic Transmission of SARS-CoV-2 from Humans to Lions, Singapore, 2021",,,
10.3201/eid2912.230717,2023,"SARS-CoV-2 Variants BQ.1 and XBB.1.5 in Wastewater of Aircraft Flying from China to Denmark, 2023",,,
10.3201/eid2912.230330,2023,"Highly Pathogenic Avian Influenza A(H5N1) Virus-Induced Mass Death of Wild Birds, Caspian Sea, Russia, 2022",,,
10.3201/eid2912.230937,2023,"Influenza Resurgence after Relaxation of Public Health and Social Measures, Hong Kong, 2023",,,
10.3201/eid2911.230753,2023,"Systematic Review and Meta-analysis of Deaths Attributable to Antimicrobial Resistance, Latin America",,,
10.3201/eid2911.230837,2023,Case Report and Literature Review of Prosthetic Cardiovascular Mucormycosis,,,
10.3201/eid2911.230921,2023,"Genotypic Evolution of Klebsiella pneumoniae Sequence Type 512 during Ceftazidime/Avibactam, Meropenem/Vaborbactam, and Cefiderocol Treatment, Italy",,,
10.3201/eid2911.230678,2023,Environmental Persistence and Disinfection of Lassa Virus,,,
10.3201/eid2911.230984,2023,"Refractory Microascus Bronchopulmonary Infection Treated with Olorofim, France",,,
10.3201/eid2911.221746,2023,"Genetic Characterization of Extensively Drug-Resistant Shigella sonnei Infections, Spain, 2021-2022",,,
10.3201/eid2911.230460,2023,"Three Cases of Tickborne Francisella tularensis Infection, Austria, 2022",,,
10.3201/eid2911.230987,2023,"Tuberculosis Variant with Rifampin Resistance Undetectable by Xpert MTB/RIF, Botswana",,,
10.3201/eid2911.230728,2023,"Hepatitis C Virus Elimination Program among Prison Inmates, Israel",,,
10.3201/eid2911.230646,2023,"Domestically Acquired NDM-1-Producing Pseudomonas aeruginosa, Southern California, USA, 2023",,,
10.3201/eid2911.231080,2023,"Trends of Enterovirus D68 Concentrations in Wastewater, California, USA, February 2021-April 2023",,,
10.3201/eid2911.230703,2023,"Risk Factors for Recent HIV Infections among Adults in 14 Countries in Africa Identified by Population-Based HIV Impact Assessment Surveys, 2015-2019",,,
10.3201/eid2911.221561,2023,"Severe Rickettsia typhi Infections, Costa Rica",,,
10.3201/eid2911.230332,2023,"Human Salmonellosis Outbreak Linked to Salmonella Typhimurium Epidemic in Wild Songbirds, United States, 2020-2021",,,
10.3201/eid2911.230839,2023,Investigation of Possible Link between Interferon-α and Lyme Disease,,,
10.3201/eid2911.230804,2023,Neurologic Effects of SARS-CoV-2 Transmitted among Dogs,,,
10.3201/eid2911.230096,2023,"Monkeypox Virus in Wastewater Samples from Santiago Metropolitan Region, Chile",,,
10.3201/eid2911.231000,2023,Scedosporium Infection in Recipients of Kidney Transplants from Deceased Near-Drowning Donor,,,
10.3201/eid2911.230499,2023,"Case of Carbapenem-Resistant Salmonella Typhi Infection, Pakistan, 2022",,,
10.3201/eid2911.230947,2023,"Duration of Enterovirus D68 RNA Shedding in the Upper Respiratory Tract and Transmission among Household Contacts, Colorado, USA",,,
10.3201/eid2911.230577,2023,"SARS-CoV-2 Reinfection Risk in Persons with HIV, Chicago, Illinois, USA, 2020-2022",,,
10.3201/eid2911.230362,2023,Micro‒Global Positioning Systems for Identifying Nightly Opportunities for Marburg Virus Spillover to Humans by Egyptian Rousette Bats,,,
10.3201/eid2911.231082,2023,Detection of Novel US Neisseria meningitidis Urethritis Clade Subtypes in Japan,,,
10.3201/eid2911.230211,2023,"Group A Streptococcus Primary Peritonitis in Children, New Zealand",,,
10.3201/eid2911.230598,2023,"Campylobacter fetus Invasive Infections and Risks for Death, France, 2000-2021",,,
10.3201/eid2911.230830,2023,Ceftazidime/Avibactam Resistance in Carbapenemase-Producing Klebsiella pneumoniae,,,
10.3201/eid2911.230857,2023,"Changes in Group A Streptococcus emm Types Associated with Invasive Infections in Adults, Spain, 2023",,,
10.3201/eid2911.230149,2023,"Erythema Migrans Caused by Borrelia spielmanii, France",,,
10.3201/eid2911.230492,2023,Simulation Study of Surveillance Strategies for Faster Detection of Novel SARS-CoV-2 Variants,,,
10.3201/eid2911.230463,2023,Global Phylogeography and Genomic Epidemiology of Carbapenem-Resistant bla(OXA-232)-Carrying Klebsiella pneumoniae Sequence Type 15 Lineage,,,
10.3201/eid2911.230493,2023,"Outbreak of Pandoraea commovens Infections among Non-Cystic Fibrosis Intensive Care Patients, Germany, 2019-2021",,,
10.3201/eid2911.230951,2023,"Clinical Manifestations and Genomic Evaluation of Melioidosis Outbreak among Children after Sporting Event, Australia",,,
10.3201/eid2912.231146,2023,"Tecovirimat Resistance in Mpox Patients, United States, 2022-2023",,,
10.3201/eid2912.230849,2023,"Treatment of Mpox with Suspected Tecovirimat Resistance in Immunocompromised Patient, United States, 2022",,,
10.3201/eid2911.230940,2023,"Prevalence of Undiagnosed Monkeypox Virus Infections during Global Mpox Outbreak, United States, June-September 2022",,,
10.3201/eid2912.231123,2023,"Divergent Genotype of Hepatitis A Virus in Alpacas, Bolivia, 2019",,,
10.3201/eid2911.230814,2023,"Racial and Socioeconomic Equity of Tecovirimat Treatment during the 2022 Mpox Emergency, New York, New York, USA",,,
10.3201/eid2911.230278,2023,"SARS-CoV-2 Infection in Wrestlers after International Tournaments, April 2021",,,
10.3201/eid2911.230299,2023,"Plasmodium vivax Prevalence in Semiarid Region of Northern Kenya, 2019",,,
10.3201/eid2910.230486,2023,"Seafood-Associated Outbreak of ctx-Negative Vibrio mimicus Causing Cholera-Like Illness, Florida, USA",,,
10.3201/eid2910.230436,2023,"Human Tularemia Epididymo-Orchitis Caused by Francisella tularensis Subspecies holartica, Austria",,,
10.3201/eid2910.230509,2023,"Pseudomonas aeruginosa High-Risk Sequence Type 463 Co-Producing KPC-2 and AFM-1 Carbapenemases, China, 2020-2022",,,
10.3201/eid2910.230011,2023,"Comprehensive Case-Control Study of Protective and Risk Factors for Buruli Ulcer, Southeastern Australia",,,
10.3201/eid2910.230706,2023,"Angiostrongylus cantonensis Infection in Brown Rats (Rattus norvegicus), Atlanta, Georgia, USA, 2019-2022",,,
10.3201/eid2910.230907,2023,"Borrelia bavariensis in Questing Ixodes ricinus Ticks, United Kingdom",,,
10.3201/eid2910.230433,2023,"Emergence of Novel Type C Botulism Strain in Household Outbreak, Japan",,,
10.3201/eid2910.221639,2023,Mycoplasma genitalium Endocarditis in Prosthetic Aortic Valve,,,
10.3201/eid2910.230084,2023,"Bacillus subtilis Bacteremia from Gastrointestinal Perforation after Natto Ingestion, Japan",,,
10.3201/eid2910.230824,2023,Stability of Monkeypox Virus in Body Fluids and Wastewater,,,
10.3201/eid2910.230382,2023,"Sporadic Shiga Toxin-Producing Escherichia coli-Associated Pediatric Hemolytic Uremic Syndrome, France, 2012-2021",,,
10.3201/eid2910.230181,2023,"Candida auris Clinical Isolates Associated with Outbreak in Neonatal Unit of Tertiary Academic Hospital, South Africa",,,
10.3201/eid2910.230809,2023,"Plasmodium knowlesi Infection in Traveler Returning to Canada from the Philippines, 2023",,,
10.3201/eid2910.230529,2023,"Reemergence of Cosmopolitan Genotype Dengue Virus Serotype 2, Southern Vietnam",,,
10.3201/eid2910.230544,2023,Human-to-Human Transmission of Andes Virus Modeled in Syrian Hamsters,,,
10.3201/eid2910.230017,2023,"Antimicrobial Resistance in Slaughterhouses, Kenya",,,
10.3201/eid2910.221596,2023,"Outbreak of Sexually Transmitted Nongroupable Neisseria meningitidis-Associated Urethritis, Vietnam",,,
10.3201/eid2910.230548,2023,"Influenza A(H5N1) Virus Infections in 2 Free-Ranging Black Bears (Ursus americanus), Quebec, Canada",,,
10.3201/eid2910.230554,2023,"Ancestral Origin and Dissemination Dynamics of Reemerging Toxigenic Vibrio cholerae, Haiti",,,
10.3201/eid2910.230519,2023,"Serotype Distribution and Disease Severity in Adults Hospitalized with Streptococcus pneumoniae Infection, Bristol and Bath, UK, 2006‒2022",,,
10.3201/eid2910.230314,2023,"Estimated Costs of 4-Month Pulmonary Tuberculosis Treatment Regimen, United States",,,
10.3201/eid2910.221899,2023,"One Health Approach to Globalizing, Accelerating, and Focusing Amphibian and Reptile Disease Research-Reflections and Opinions from the First Global Amphibian and Reptile Disease Conference",,,
10.3201/eid2910.230153,2023,"Carbapenem-Resistant Klebsiella pneumoniae in Large Public Acute-Care Healthcare System, New York, New York, USA, 2016-2022",,,
10.3201/eid2910.230421,2023,"Spike in Congenital Syphilis, Mississippi, USA, 2016-2022",,,
10.3201/eid2911.230894,2023,"New SARS-CoV-2 Omicron Variant with Spike Protein Mutation Y451H, Kilifi, Kenya, March-May 2023",,,
10.3201/eid2912.230966,2023,"Detection of African Swine Fever Virus from Wild Boar, Singapore, 2023",,,
10.3201/eid2910.230660,2023,"Treponema pallidum Detection at Asymptomatic Oral, Anal, and Vaginal Sites in Adults Reporting Sexual Contact with Persons with Syphilis",,,
10.3201/eid2911.230606,2023,"Congenital Mpox Syndrome (Clade I) in Stillborn Fetus after Placental Infection and Intrauterine Transmission, Democratic Republic of the Congo, 2008",,,
10.3201/eid2911.230836,2023,"Genomic Sequencing Surveillance to Identify Respiratory Syncytial Virus Mutations, Arizona, USA",,,
10.3201/eid2910.230285,2023,"Imported Toxigenic Corynebacterium Diphtheriae in Refugees with Polymicrobial Skin Infections, Germany, 2022",,,
10.3201/eid2910.230030,2023,"Cycle Threshold Values as Indication of Increasing SARS-CoV-2 New Variants, England, 2020-2022",,,
10.3201/eid2910.230560,2023,"Community Outbreak of Pseudomonas aeruginosa Infections Associated with Contaminated Piercing Aftercare Solution, Australia, 2021",,,
10.3201/eid2910.230286,2023,"Characteristics of and Deaths among 333 Persons with Tuberculosis and COVID-19 in Cross-Sectional Sample from 25 Jurisdictions, United States",,,
10.3201/eid2910.230516,2023,"Mpox in Children and Adolescents during Multicountry Outbreak, 2022-2023",,,
10.3201/eid2910.230675,2023,"Expansion of Invasive Group A Streptococcus M1(UK) Lineage in Active Bacterial Core Surveillance, United States, 2019‒2021",,,
10.3201/eid2910.230003,2023,"Effects of COVID-19 on Maternal and Neonatal Outcomes and Access to Antenatal and Postnatal Care, Malawi",,,
10.3201/eid2910.230585,2023,"Estimate of COVID-19 Deaths, China, December 2022-February 2023",,,
10.3201/eid2910.230055,2023,"Emergence of SARS-CoV-2 Delta Variant and Effect of Nonpharmaceutical Interventions, British Columbia, Canada",,,
10.3201/eid2910.230536,2023,"Limited Outbreak of Highly Pathogenic Influenza A(H5N1) in Herring Gull Colony, Canada, 2022",,,
